# date,spot btc_price_usd,MNAV,MNAV_x_BTC_Price,MSTR_BTC_Holdings,MSTR_Market_Cap_USD
2022-01-01,38483.125,0.25,9596.08,125051.0,1200000000.0
2022-02-01,43193.234375,0.93,39983.69,125051.0,5000000000.0
2022-03-01,45538.67578125,0.96,43902.09,125051.0,5490000000.0
2022-04-01,37714.875,0.82,30955.44,129218.0,4000000000.0
2022-05-01,31792.310546875,0.73,23139.19,129218.0,2990000000.0
2022-06-01,19784.7265625,0.72,14341.01,129698.0,1860000000.0
2022-07-01,23336.896484375,1.07,24904.01,129698.0,3230000000.0
2022-08-01,20049.763671875,1.01,20200.77,129698.0,2620000000.0
2022-09-01,19431.7890625,0.95,18461.68,129999.0,2400000000.0
2022-10-01,20495.7734375,1.24,25384.81,129999.0,3300000000.0
2022-11-01,17168.56640625,1.0,17230.9,129999.0,2240000000.0
2022-12-01,16547.49609375,0.73,12075.47,132500.0,1600000000.0
2023-01-01,23139.283203125,0.97,22490.57,132500.0,2980000000.0
2023-02-01,23147.353515625,1.01,23396.23,132500.0,3100000000.0
2023-03-01,28478.484375,0.87,24900.15,138955.0,3460000000.0
2023-04-01,29268.806640625,1.07,31305.1,138955.0,4350000000.0
2023-05-01,27219.658203125,1.05,28571.43,140000.0,4000000000.0
2023-06-01,30477.251953125,0.98,29803.13,152333.0,4540000000.0
2023-07-01,29230.111328125,1.4,40897.24,152333.0,6230000000.0
2023-08-01,25931.47265625,1.28,33246.07,152800.0,5080000000.0
2023-09-01,26967.916015625,1.09,29511.2,158245.0,4670000000.0
2023-10-01,34667.78125,1.06,36588.83,158245.0,5790000000.0
2023-11-01,37712.74609375,1.03,39019.08,174530.0,6810000000.0
2023-12-01,42265.1875,1.08,45625.17,189150.0,8630000000.0
2024-01-01,42582.60546875,1.07,45572.3,189150.0,8620000000.0
2024-02-01,61198.3828125,1.49,91139.9,193000.0,17590000000.0
2024-03-01,71333.6484375,1.92,136805.99,214245.0,29310000000.0
2024-04-01,60636.85546875,1.46,88712.69,214400.0,19020000000.0
2024-05-01,67491.4140625,1.88,127005.6,214400.0,27230000000.0
2024-06-01,62678.29296875,1.73,108690.37,226331.0,24600000000.0
2024-07-01,64619.25,2.18,140618.1,226500.0,31850000000.0
2024-08-01,58969.8984375,1.96,115320.09,226500.0,26120000000.0
2024-09-01,63329.5,2.08,131869.0,252220.0,33260000000.0
2024-10-01,70215.1875,2.66,186662.44,252220.0,47080000000.0
2024-11-01,96449.0546875,2.0,192940.26,386700.0,74610000000.0
2024-12-01,93429.203125,1.34,124932.8,446400.0,55770000000.0
2025-01-01,102405.0234375,1.78,182251.59,471107.0,85860000000.0
2025-02-01,84373.0078125,1.56,131275.73,499026.0,65510000000.0
2025-03-01,82548.9140625,1.7,139969.9,528185.0,73930000000.0
2025-04-01,94207.3125,2.08,196081.0,533555.0,104620000000.0
2025-05-01,104638.09375,1.67,175062.47,580250.0,101580000000.0
2025-06-01,107135.3359375,1.74,186263.76,597325.0,111260000000.0
2025-07-01,115758.203125,1.52,175909.01,628791.0,110610000000.0
2025-08-01,108236.7109375,1.34,145527.68,632457.0,92040000000.0
2025-09-01,114056.0859375,1.23,138613.86,639835.0,88690000000.0
